"ID","Item Name","Item Code","Naration","Minimum Level","Sale Price","Purchase Price"
"142","1 Ghr 20Ml","GHR","0","6","595","595"
"143","2 Ghr 20Mi","GHR","0","6","595","400"
"144","3 Ghr 20Ml","GHR","0","6","595","595"
"145","4 Ghr 20 Ml","GHR","0","6","595","595"
"146","5 Ghr 20 Ml","GHR ","0","6","595","595"
"147","6 Ghr 20 Ml","GHR","0","6","595","595"
"148","7 Ghr 20Ml","GHR","0","6","595","504"
"149","8 Ghr 20Ml","GHR","0","6","595","595"
"150","9 Ghr 20Ml","GHR","0","6","595","595"
"151","10 Ghr 20Ml","GHR","0","6","595","595"
"152","11 Ghr 20Ml","GHR","0","6","595","595"
"153","12 Ghr 20Ml","GHR","0","6","595","595"
"154","13 Ghr 20Ml","GHR","0","6","595","595"
"155","14 Ghr 20Ml","GHR","0","6","595","595"
"156","15 Ghr 20Ml","GHR","0","6","595","504"
"157","16 Ghr 20Ml","GHR","0","6","0","504"
"158","17 Ghr 20Ml","GHR","0","6","595","595"
"159","18 Ghr 20Ml","GHR","0","6","595","595"
"160","19 Ghr 20Ml","GHR","0","6","595","595"
"161","20 Ghr 20Ml","GHR","0","6","595","504"
"162","21 Ghr 20Ml","GHR","0","6","0","595"
"163","22 Ghr 20Ml","GHR","0","6","595","595"
"164","23 Ghr 20Ml","GHR","0","6","595","504"
"165","24 Ghr 20Ml","GHR","0","6","595","595"
"166","25 Ghr 20Ml","GHR","0","6","595","595"
"167","26 Ghr 20Ml","GHR","0","6","595","595"
"168","27 Ghr 20Ml","GHR","0","6","595","595"
"169","28 Ghr 20Ml","GHR","0","6","595","504"
"170","29 Ghr 20Ml","GHR","0","6","595","504"
"171","30 Ghr 20Ml","GHR","0","6","595","0"
"172","31 Ghr 20Ml","GHR","0","6","0","504"
"173","32 Ghr 20Ml","GHR","0","6","595","504"
"174","33 Ghr 20Ml","GHR","0","6","595","595"
"175","34 Ghr 20Ml","GHR ","0","6","595","595"
"176","35 Ghr 20Ml","GHR","0","6","0","595"
"177","36 Ghr 20Ml","GHR","0","6","0","0"
"178","37 Ghr 20Ml","GHR","0","6","595","595"
"179","38 Ghr 20Ml","GHR","0","6","595","595"
"180","39 Ghr 20Ml","GHR","0","6","595","595"
"181","40 Ghr 20Ml","GHR","0","6","595","504"
"182","41 Ghr 20Ml","GHR","0","6","595","504"
"183","42 Ghr 20Ml","GHR","0","6","595","504"
"184","Rene Cure 120Ml Syp","BM","0","6","150","150"
"185","Nux D.S 120Ml Syp","BM","0","6","180","180"
"186","Cascara Senna 120Ml Syp","BM","0","6","155","93"
"187","Podophyllum 120Ml Syp","BM","0","6","180","180"
"188","Chesty 120Ml Syp","BM","0","6","180","150"
"189","Asoka Cordial 120Ml Syp","BM","0","6","180","150"
"190","Alfalfa Ginsing 120Ml Syp","BM","0","6","150","150"
"191","Nux Vomica 120Ml Syp","BM","0","6","180","180"
"192","Baptisia 120Ml Syp","BM","0","6","180","150"
"193","Baby Tonic 120Ml Syp","BM","0","6","180","180"
"194","Hepatoliver 120Ml Syp","BM","0","6","150","150"
"195","Bryonia 120Ml Syp","BM","0","6","180","180"
"196","Alfalfa Tonic 120Ml Syp","BM","0","6","180","150"
"197","Femolin 240Ml Syp","BM","0","6","250","150"
"198","Ferrum Guard 240Ml Syp","BM","0","6","250","150"
"199","Moringa 240Ml Syp","BM","0","6","300","300"
"200","Sepa Tab","BM","0","5","250","200"
"201","Doloex Plus Tab ","BM","0","5","200","150"
"202","Syzjambol Tab","BM","0","5","200","150"
"203","Nux Vomica Tab ","BM","0","5","150","150"
"204","Bio-Calcium Tab ","BM","0","5","200","200"
"205","Vermifuge Tab","BM","0","5","250","150"
"206","Ginseng Tab ","BM","0","5","200","200"
"207","Arthribid Tab ","BM","0","5","200","90"
"208","Pimpie Cream","BM","0","5","180","108"
"209","Calendula Ointment","BM","0","5","180","180"
"210","Rhus Tox Ointment","BM","0","5","180","108"
"211","Fairy Face Lotion","BM","0","5","150","90"
"212","Fevo Mek 60Ml","MEK","0","5","110","110"
"213","Podo Mak 60Ml","MEK","0","5","110","110"
"214","Mek-Cough 60Ml","MEK","0","5","0","0"
"215","Gastro Pex 60Ml","MEK","0","5","110","110"
"216","Gastro Pex 500Ml","MEK","0","5","430","0"
"217","Digi-Mak 500Ml","MEK","0","5","0","0"
"218","Hapartone 500Ml","MEK","0","5","430","430"
"219","Alfalfa 500Ml","MEK","0","5","0","0"
"220","Gastro Pex Tab 250G","MEK","0","5","660","550"
"221","Pain Mak Tab","MEK","0","5","240","190"
"222","Mekcard Tab ","MEK","0","5","260","260"
"223","Dia-Mak Tab","MEK","0","5","0","0"
"224","Ginkgo Mek Tab ","MEK","0","5","280","280"
"225","Iero-Mek Tab ","MEK","0","5","280","350"
"226","Mekchol Tab","MEK","0","5","260","260"
"227","Siliclax Drop","MEK","0","5","160","149"
"228","Mullein (Ear-Drop)","MEK","0","5","160","200"
"229","Senox (Nasal Drop)","MEK","0","5","200","200"
"230","Dento-Mek (Toothache-Lotion)","MEK","0","5","160","160"
"231","Vitagene-Forte (Drop)","BM","0","6","250","250"
"232","Venocard-Diocarde (Glod Drop)","BM","0","6","250","200"
"233","Mek-Cantharis Cream","MEK","0","6","0","0"
"234","Pain Gel Gel ","MEK","0","6","180","220"
"235","Calendula (Ointment)","MEK","0","6","160","160"
"236","Thuja Cream","MEK","0","6","210","210"
"237","Sulfur Cream","MEK","0","6","210","210"
"238","T-1 Gas & Indigestion 30Ml Drops","MEK","0","12","230","230"
"239","T-2 Acute And Chronic Asthama 30Ml","MEK","0","12","230","230"
"240","T-3 Sinusits 30Ml","MEK","0","12","150","230"
"241","T-4 Blood Purifier 30Ml","MEK","0","12","230","230"
"242","T-5 Sugar Control 30Ml","MEK","0","12","230","230"
"243","T-6 Rheumatism 30Ml","MEK","0","12","230","230"
"244","T-7 Haemorrhoids 30Ml","MEK","0","12","230","230"
"245","T-8 Leucorrhea 30Ml","MEK","0","12","230","320"
"246","T-9 High Blood Pressure 30Ml","MEK","0","12","230","230"
"247","T-10 Relieve The Symptoms 30Ml","MEK","0","12","190","230"
"248","T-11 Eye Bright 30Ml ","MEK","0","12","230","230"
"249","T-12 Increas Weight 30Ml","MEK","0","12","230","230"
"250","T-13 Amenorrhoea & Dysmenorrhoea 30Ml","MEK","0","12","230","230"
"251","T-14 Hight 30Ml","MEK","0","12","230","230"
"252","T-15 Bed Wetting 30Ml","MEK","0","12","230","230"
"253","T-16 Slimming 30Ml","MEK","0","12","230","230"
