"ID","Date","Voucher No","Type","Account Name","Term","Term/Ac","Bilty","Transport","SaleMan","Net Amount","Cash Received"
"6","1/12/2024 12:00:00 AM","P-1","Purchase","BM Pvt LTD","Credit","","0","None","Taj ud din","85136",""
"7","1/1/2024 12:00:00 AM","P-2","Purchase","MEKTUM Pvt Ltd","Credit","","9860","Super Mama Goods","Muhammad Danish","410250",""
"8","1/18/2024 12:00:00 AM","P-3","Purchase","BM Pvt LTD","Credit","","","","Taj ud din","69604",""
"9","1/29/2024 12:00:00 AM","P-4","Purchase","BLOSSOM ","Credit","","5071","Aktar & Brothers","Dr Asif Ali","148000",""
"10","2/1/2024 12:00:00 AM","S-1","Invoice","German Homeopathic Store (Dr Saqib Khan)","Credit","","0","None","Hamza","714","0"
"11","2/4/2024 12:00:00 AM","S-2","Invoice","Counter","Cash","Cash In Hand","0","None","Hamza","4150","4150"
"12","2/4/2024 12:00:00 AM","P-5","Purchase","Dr Asif Homeopathic Clinic & Store","Credit","","0","None","Hamza","300",""
"13","2/4/2024 12:00:00 AM","S-3","Invoice","German Homeopathic Store (Dr Saqib Khan)","Credit","","0","None","Hamza","90","0"
"14","2/4/2024 12:00:00 AM","P-6","Purchase","German Homeopathic Store (Dr Saqib Khan)","Credit","","0","None","Alladin","1340",""
"15","1/25/2024 12:00:00 AM","P-7","Purchase","HFP Private Limited","Credit","","0","0","Hamza","325001",""
"16","1/23/2024 12:00:00 AM","P-8","Purchase","HFP Private Limited","Credit","","","","Hamza","51832",""
"17","2/4/2024 12:00:00 AM","S-4","Invoice","Hassan Homeopathic Store","Credit","","0","Azeem ","Hamza","1680","0"
"18","2/6/2024 12:00:00 AM","S-5","Invoice","Counter","Cash","Cash In Hand","0","None","Hamza","5739","5740"
"19","2/5/2024 12:00:00 AM","P-9","Purchase","German Homeopathic Store (Dr Saqib Khan)","Credit","","0","None","Hamza","1171",""
"20","2/6/2024 12:00:00 AM","S-6","Invoice","Counter","Cash","Cash In Hand","0","None","Hamza","1850","1850"
"21","2/6/2024 12:00:00 AM","S-7","Invoice","Counter","Cash","Cash In Hand","0","None","Hamza","130","130"
"22","2/6/2024 12:00:00 AM","S-8","Invoice","Counter","Cash","Cash In Hand","0","None","Hamza","1050","1050"
"23","2/6/2024 12:00:00 AM","P-10","Purchase","Sindh Homeopathic Store","Credit","","0","None","Hamza","850",""
"24","2/6/2024 12:00:00 AM","S-9","Invoice","Counter","Cash","Cash In Hand","0","None","Hamza","250","250"
"25","2/7/2024 12:00:00 AM","S-10","Invoice","Ali Danish Homoeopathic Store","Credit","","0","None","Hamza","360","0"
"26","2/7/2024 12:00:00 AM","P-11","Purchase","Paul Brooks Homoeo Lab","Credit","","7127+7128+7129","Super Mama Goods","Mr.Umair Shaikh","132012",""
