Item Code,Medicine Name,Manufacturing Company,Category,Packing / Size,Retail Price (Rs),Trade Cost (Rs),Stock Quantity
"R-1 to R-75","R No's Specialities (R-1 to R-75)","Dr. Reckeweg Germany","Drops","22 ml",1250,0,0
"R-76","R-76 (Asthma Drops Forte)","Dr. Reckeweg Germany","Drops","22 ml",1360,0,0
"R-77","R-77 (Anti-Smoking Drops)","Dr. Reckeweg Germany","Drops","22 ml",1360,0,0
"R-78","R-78 (Eye Drops)","Dr. Reckeweg Germany","Drops","22 ml",1360,0,0
"R-81","R-81 (Analgesic Drops)","Dr. Reckeweg Germany","Drops","22 ml",1360,0,0
"R-41P","R-41 Plain (Sexual Weakness)","Dr. Reckeweg Germany","Drops","22 ml",1700,0,0
"R-41F","R-41 Forte","Dr. Reckeweg Germany","Drops","22 ml",1490,0,0
"R-130","R-130","Dr. Reckeweg Germany","Drops","22 ml",2385,0,0
"R-131","R-131","Dr. Reckeweg Germany","Drops","22 ml",2385,0,0
"R-182-192","R-182 to R-192","Dr. Reckeweg Germany","Drops","50 ml",2000,0,0
"R-193","R-193","Dr. Reckeweg Germany","Drops","50 ml",2350,0,0
"R-96","R-96 (Nasal Spray)","Dr. Reckeweg Germany","Spray","15 ml",1300,0,0
"R-95-100","R-95 Alfalfa Tonic (100ml)","Dr. Reckeweg Germany","Syrup","100 ml",1300,0,0
"R-95-500","R-95 Alfalfa Tonic (500ml)","Dr. Reckeweg Germany","Syrup","500 ml",5460,0,0
"AMB-1000","Ambra 1000 Drops","Dr. Reckeweg Germany","Drops","22 ml",1700,0,0
"DAM-GOLD","Damia Gold Drops","Dr. Reckeweg Germany","Drops","50 ml",2200,0,0
"VITA-C","Vita-C 15 Syrup","Dr. Reckeweg Germany","Syrup","250 ml",2620,0,0
"R-8","R-8 Cough Syrup","Dr. Reckeweg Germany","Syrup","150 ml",1470,0,0
"R-61","R-61 Ointment","Dr. Reckeweg Germany","Cream / Ointment","85 gm",2730,0,0
"VITA-C-AMP","Vita-C 15 Forte Ampoules","Dr. Reckeweg Germany","Injections / Ampoules","12 Amp / 10ml",4100,0,0
"R-17-AMP","R-17 Forte Ampoules","Dr. Reckeweg Germany","Injections / Ampoules","12 Amp / 10ml",4400,0,0
"LEH-01","AMPHOSCA (FEMALE)","Lehning Laboratories Pharma","Tablets","60 TABS",1990,0,0
"LEH-02","AMPHOSCA (MALE)","Lehning Laboratories Pharma","Tablets","60 TABS",1990,0,0
"LEH-03","ANGIPAX TABLETS","Lehning Laboratories Pharma","Tablets","40 TABS",1340,0,0
"LEH-04","BILLEROL TABLETS","Lehning Laboratories Pharma","Tablets","45 TABS",1640,0,0
"LEH-05","BIOCARDE DROPS","Lehning Laboratories Pharma","Drops","30 ML",1340,0,0
"LEH-06","BIOMAG TABLETS (ORANGE)","Lehning Laboratories Pharma","Tablets","90 TABS",2040,0,0
"LEH-07","CAROMINTHE DROPS","Lehning Laboratories Pharma","Drops","90 ML",1690,0,0
"LEH-08","DAMIAPAX DROPS","Lehning Laboratories Pharma","Drops","30 ML",1440,0,0
"LEH-09","DIABENE DROPS","Lehning Laboratories Pharma","Drops","30 ML",1440,0,0
"LEH-10","DIACURE CAPSULES","Lehning Laboratories Pharma","Capsules","60 CAPS",2190,0,0
"LEH-L08","L 8 DROPS","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-L25","L 25 DROPS","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-L28","L 28 DROPS","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-L52","L 52 DROPS (Flu & Cold)","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-L72","L 72 DROPS (Sleep / Anxiety)","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-L107","L 107 DROPS","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-L114","L 114 DROPS","Lehning Laboratories Pharma","Drops","30 ML",1590,0,0
"LEH-11","NERVOPAX TABLETS","Lehning Laboratories Pharma","Tablets","80 TABS",1640,0,0
