Medicine Name,Company Name,Product Code,Purchase Price,Sale Price,Store Stock,Warehouse Stock,Category,Minimum Alert Level
"1 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"2 Ghr 20Mi","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"3 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"4 Ghr 20 Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"5 Ghr 20 Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"6 Ghr 20 Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"7 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"8 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"9 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"10 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"11 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"12 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"13 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"14 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"15 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"16 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"17 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"18 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"19 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"20 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"21 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"22 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"23 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"24 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"25 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"26 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"27 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"28 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"29 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"30 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"31 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"32 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"33 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"34 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"35 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"36 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"37 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"38 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"39 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"40 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"41 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"42 Ghr 20Ml","GHR Homoeo Pharma","GHR",0,0,0,0,"Homeopathic Drops","6"
"Rene Cure 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Nux D.S 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Cascara Senna 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Podophyllum 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Chesty 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Asoka Cordial 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Alfalfa Ginsing 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Nux Vomica 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Baptisia 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Baby Tonic 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Hepatoliver 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Bryonia 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Alfalfa Tonic 120Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Femolin 240Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Ferrum Guard 240Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Moringa 240Ml Syp","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","6"
"Sepa Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Doloex Plus Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Syzjambol Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Nux Vomica Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Bio-Calcium Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Vermifuge Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Ginseng Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Arthribid Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
"Pimpie Cream","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","5"
