Item Code,Item Name,Company / Brand Code,Minimum Alert Level,Cost Price,Sale Price,Current Stock
"142","1 Ghr 20Ml","GHR","6",0,0,0
"143","2 Ghr 20Mi","GHR","6",0,0,0
"144","3 Ghr 20Ml","GHR","6",0,0,0
"145","4 Ghr 20 Ml","GHR","6",0,0,0
"146","5 Ghr 20 Ml","GHR","6",0,0,0
"147","6 Ghr 20 Ml","GHR","6",0,0,0
"148","7 Ghr 20Ml","GHR","6",0,0,0
"149","8 Ghr 20Ml","GHR","6",0,0,0
"150","9 Ghr 20Ml","GHR","6",0,0,0
"151","10 Ghr 20Ml","GHR","6",0,0,0
"152","11 Ghr 20Ml","GHR","6",0,0,0
"153","12 Ghr 20Ml","GHR","6",0,0,0
"154","13 Ghr 20Ml","GHR","6",0,0,0
"155","14 Ghr 20Ml","GHR","6",0,0,0
"156","15 Ghr 20Ml","GHR","6",0,0,0
"157","16 Ghr 20Ml","GHR","6",0,0,0
"158","17 Ghr 20Ml","GHR","6",0,0,0
"159","18 Ghr 20Ml","GHR","6",0,0,0
"160","19 Ghr 20Ml","GHR","6",0,0,0
"161","20 Ghr 20Ml","GHR","6",0,0,0
"162","21 Ghr 20Ml","GHR","6",0,0,0
"163","22 Ghr 20Ml","GHR","6",0,0,0
"164","23 Ghr 20Ml","GHR","6",0,0,0
"165","24 Ghr 20Ml","GHR","6",0,0,0
"166","25 Ghr 20Ml","GHR","6",0,0,0
"167","26 Ghr 20Ml","GHR","6",0,0,0
"168","27 Ghr 20Ml","GHR","6",0,0,0
"169","28 Ghr 20Ml","GHR","6",0,0,0
"170","29 Ghr 20Ml","GHR","6",0,0,0
"171","30 Ghr 20Ml","GHR","6",0,0,0
"172","31 Ghr 20Ml","GHR","6",0,0,0
"173","32 Ghr 20Ml","GHR","6",0,0,0
"174","33 Ghr 20Ml","GHR","6",0,0,0
"175","34 Ghr 20Ml","GHR","6",0,0,0
"176","35 Ghr 20Ml","GHR","6",0,0,0
"177","36 Ghr 20Ml","GHR","6",0,0,0
"178","37 Ghr 20Ml","GHR","6",0,0,0
"179","38 Ghr 20Ml","GHR","6",0,0,0
"180","39 Ghr 20Ml","GHR","6",0,0,0
"181","40 Ghr 20Ml","GHR","6",0,0,0
"182","41 Ghr 20Ml","GHR","6",0,0,0
"183","42 Ghr 20Ml","GHR","6",0,0,0
"184","Rene Cure 120Ml Syp","BM","6",0,0,0
"185","Nux D.S 120Ml Syp","BM","6",0,0,0
"186","Cascara Senna 120Ml Syp","BM","6",0,0,0
"187","Podophyllum 120Ml Syp","BM","6",0,0,0
"188","Chesty 120Ml Syp","BM","6",0,0,0
"189","Asoka Cordial 120Ml Syp","BM","6",0,0,0
"190","Alfalfa Ginsing 120Ml Syp","BM","6",0,0,0
"191","Nux Vomica 120Ml Syp","BM","6",0,0,0
"192","Baptisia 120Ml Syp","BM","6",0,0,0
"193","Baby Tonic 120Ml Syp","BM","6",0,0,0
"194","Hepatoliver 120Ml Syp","BM","6",0,0,0
"195","Bryonia 120Ml Syp","BM","6",0,0,0
"196","Alfalfa Tonic 120Ml Syp","BM","6",0,0,0
"197","Femolin 240Ml Syp","BM","6",0,0,0
"198","Ferrum Guard 240Ml Syp","BM","6",0,0,0
