Party Code,Party Name,Account Type,City,Phone,Salesman,Opening Balance
"1","BM Pvt LTD","Supplier","","","",0
"2","Counter","Customer","","","",0
"3","Cash In Hand","Cash","","","",0
"4","MEKTUM Pvt Ltd","Supplier","","","",0
"5","BLOSSOM","Supplier","","","",0
"6","Paul Brooks Homoeo Lab","Supplier","","","",0
"7","German Homeopathic Store (Dr Saqib Khan)","Local Market","","","",0
"8","Local Purchase","Supplier","","","",0
"9","Sufi Homeopathic Store","Local Market","","","",0
"10","Dr Asif Homeopathic Clinic & Store","Customer","","","",0
"11","HFP Private Limited","Supplier","","","",0
"12","Hassan Homeopathic Store","Local Market","","","",0
"13","Shop Expense","Expense","","","",0
"14","Noman Homeopathic Store","Local Market","","","",0
"15","Bilal Homoeopathic Store","Local Market","","","",0
"16","Hamza Personal","Expense","","","",0
"17","Sindh Homeopathic Store","Local Market","","","",0
"18","Rafay Homeopathic Store","Local Market","","","",0
"19","Ali Danish Homoeopathic Store","Local Market","","","",0
"20","B.H.P Laboratory (PVT) LTD","Supplier","","","",0
"21","Bilty Expense","Expense","","","",0
"22","Muslim Homoeopathic Store LPR","Local Market","","","",0
"23","ZAM ZAM Homoeo Pharma","Supplier","","","",0
"24","Sale Tax","Other","","","",0
"25","F.O.R","Other","","","",0
"26","Dr Asif Personal","Cash","","","",0
"27","Dr Asif (Investment)","Capital","","","",0
"29","Faqir","Expense","","","",0
"29","Discount","Expense","","","",0
"30","Kent Homoeopathic Pharmacy","Supplier","","","",0
"31","Chand Homoeopathic Store","Local Market","","","",0
"32","Tawaqal Homoeopathic Store","Local Market","","","",0
"33","(GHR) HOMOEO PHARMAA","Supplier","","","",0
"34","H/Dr Yousuf (Kotri)","Kotri","","","",0
"35","Dr Aftab Ahmed (HYD)","Customer","","","",0
"36","L/Dr Sakina Aslam TMK","TMK","","","",0
"37","H/Dr Danish karmani","SANGER","","","",0
"38","H/Dr Azger Mughal","Khaber","","","",0
"39","Eagle Homoeo & Harbal Pharma","Supplier","","","",0
"40","Dua Homoeopathic Store","Local Market","","","",0
"41","Sindh H/S Badin","Customer","","","",0
"42","NP BM (Pvt.) Limited","Supplier","","","",0
"43","L/Dr.Sofia Qamar (kotri)","Kotri","","","",0
"44","Faraz Ahmed SPO BM","Sales Man","","","",0
"45","L/Dr Najma Bloch","Hyderabad","","","",0
"46","Sohail Homoeo & Harbal Store","Local Market","","","",0
"47","M.Ayobe Qurashi","Customer","","","",0
"48","NazZ Homoeo & Harbal Pharmacy","Supplier","","","",0
"49","Shalimar Homoeo Store LPR","Local Market","","","",0
"50","Masood Homoeo Pharma PVT","Supplier","","","",0
"51","Al Sehat Homoeo/Pharma","Supplier","","","",0
"52","Sulaman Madical Store","Chamber","","","",0
"53","Muneer Medical Store","Jhand Mori","","","",0
"54","Muslim Medical Store","Jhand Mori","","","",0
"55","Talpur Medical Store (Jahan Mori)","Jhand Mori","","","",0
"56","Wasaan Medical Store","Jhand Mori","","","",0
"57","Zulfiqar (Jahan Mori)","Jahand Mori","","","",0
"58","Waheed Bhai","Sales Man","","","",0
"59","Star Homoeo Store","Local Market","","","",0
"60","Dr Farhad Khanoot","Khanoot","","","",0
"65","T.S Laboratories","Supplier","","","",0
"66","Pakistan H/S LPR","Local Market","","","",0
"67","Dr Shabbir (Odero Lal)","Odero Lal","","","",0
"68","Jameel H/S LPR","Local Market","","","",0
"69","W.S Pharmacy & Research Center","Supplier","","","",0
"70","Dr Zahoor T.Adam","T.Adam","","","",0
"71","Sindh Homoeo Store (Noabad)","Noabad","","","",0
"72","Baba Homoeo Store","Local Market","","","",0
"73","Dr Ghulam Asghar  (Pir Jo Goth)","C/O Waheed Bhai","","","",0
"74","Hakeem Sikander Ameer","Supplier","","","",0
"75","Abdul Wahab Pansar Store","C/O Waheed Bhai","","","",0
"76","Mr Waheed HFP SPO","Customer","","","",0
"77","Sheroze H/S Muzzamil","Local Market","","","",0
"78","Makka Homoeopathic Store Nawabshah","N/S","","","",0
"79","Dr Ajaab Khan (Khanoot)","Khanoot","","","",0
"80","Dr Waqeel (KHANOOT)","KHANOOT","","","",0
"81","Dr Adalat Khan (Khanoot)","Khanoot","","","",0
"82","Dr Anwar Khan (Khanoot)","Khanoot","","","",0
"83","Dr Saleem Qazi (NAWABSHAH)","NAWABSHAH","","","",0
"84","Rahib Madical Store (Tando Bhago)","Tando Bhago","","","",0
"85","Hakeem Dainsh (kunri)","Kunri","","","",0
"86","Dr Jamaal Nasir (T.M.K)","TMK","","","",0
"87","Ameer Madical Store (T.M.K)","TMK","","","",0
"88","Dr Ghulam Qadir Baloch (GULAB LAGARI)","Gulab Lagari","","","",0
"89","Dr Bhagwan DazZ (RATO DERO)","Rato Dero","","","",0
"90","Al-Haseeb Clanic (Hala)","Hala","","","",0
"91","Muzamil Homoeo Store (D.K.M)","D.K.M","","","",0
"92","Dr Dav Kumar (Odero Lal)","Odero Lal","","","",0
"93","Dr Ghulam Qadir Baloch (Ghulab Lagri)","Ghulab Lagari","","","",0
"94","Ameer M/S (TMK)","TMK","","","",0
"95","Panjetan Pak M/S (DKM)","D.K.M","","","",0
"96","Bismillah Pansar (Pinjra Pol) HYD","Hyderabad","","","",0
"97","Gul M/S (Tando Jaam)","Tando Jaam","","","",0
"98","Danish Homoeo Store (Shadadpur)","SHADADPUR","","","",0
"99","Al-Khadija Homoeo Store (HYD)","Local Market","","","",0
"100","Dr Talib-ud-Din (Moro)","Moro","","","",0
"101","Sakhi Shahbaz Homoeo Store (Moro)","Moro","","","",0
"102","Dr Shazad Awan (Qazi Ahmed)","Qazi Ahmed","","","",0
"103","Dr Ghafoor Malik Aman M/S (SANJHORO)","Sanjhoro","","","",0
"104","Dr Adil (hali road)","Hyderabad","","","",0
"105","Fazal Medical Store (Jahan Mori)","Jahan Mori","","","",0
"106","Zulfiqar Medical Store (Jahan Mori)","Jahan Mori","","","",0
"107","Mueer Medical Store (Jahan Mori)","Jahan Mori","","","",0
"108","Wasan Medical Store (Jahan Mori)","Jahan Mori","","","",0
